Wall time,Step,Value
1751244976.917653,1433600,-36049.40625
1751244978.909122,1435648,-36186.12109375
1751244980.82324,1437696,-36444.12109375
1751244986.541559,1441792,-36238.03515625
1751244992.6099489,1447936,-36252.828125
1751244998.464001,1452032,-36712.765625
1751245002.685614,1456128,-36680.2421875
1751245012.713432,1464320,-37484.453125
1751245022.935673,1472512,-37642.33984375
1751245028.883693,1478656,-37909.1953125
1751245032.6270862,1480704,-37970.5703125
1751245034.644619,1482752,-38068.30859375
1751245036.66883,1484800,-37956.0078125
1751245039.146216,1486848,-38176.203125
1751245050.6285582,1497088,-37874.05078125
1751245064.585079,1509376,-37779.53515625
1751245070.99061,1513472,-37867.5234375
1751245073.6561532,1515520,-37790.87109375
1751245075.933643,1517568,-37744.75
1751245084.6156359,1523712,-37077.59765625
1751245090.6687481,1529856,-36979.58203125
1751245094.638331,1531904,-36717.4375
1751245100.879164,1538048,-36339.11328125
1751245104.622535,1540096,-36465.33984375
1751245106.61298,1542144,-36469.00390625
1751245110.8364959,1546240,-36150.22265625
1751245116.754174,1550336,-36042.40625
1751245130.610776,1562624,-35533.50390625
1751245136.6611688,1568768,-35324.5703125
1751245140.555386,1570816,-35329.46484375
1751245146.610083,1576960,-35189.46484375
1751245148.449228,1579008,-35118.890625
1751245152.386888,1581056,-34971.35546875
1751245156.16007,1585152,-35348.7578125
1751245158.082127,1587200,-35271.8125
1751245160.1764789,1589248,-35313.65625
1751245171.799341,1599488,-34994.9453125
1751245181.637723,1607680,-34922.171875
1751245183.625545,1609728,-35300.34765625
1751245189.592972,1613824,-35320.8046875
1751245193.573447,1617920,-35689.91015625
1751245199.6101482,1622016,-35709.92578125
1751245201.877864,1624064,-35657.4296875
1751245204.756227,1626112,-35584.83203125
1751245206.8907762,1628160,-35707.93359375
1751245210.678387,1630208,-35741.26171875
1751245216.847809,1636352,-35691.10546875
1751245222.5568519,1640448,-35784.7421875
1751245226.495317,1644544,-35838.01953125
1751245234.253105,1650688,-35867.4375
1751245238.3990111,1654784,-35889.7421875
1751245240.446988,1656832,-35989.9609375
1751245242.438408,1658880,-36125.26953125
1751245253.291407,1667072,-35803.62109375
